fuente,categoria,nombre,imagen_url,mean_R,mean_G,mean_B,mean_L,mean_a,mean_b,contrast_L
Mahou,Cerveza Mahou,MAHOU RESERVA,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw36f6c842/images/hi-res/IS11467-1.jpg,243.1561,236.1039,232.184,93.6788,2.6081,3.4357,18.1036
Mahou,Cerveza Mahou,MAHOU CINCO ESTRELLAS EDICIÓN ESPECIAL FALLAS 2026,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw58da130a/images/hi-res/IS11517-1.jpg,237.4221,219.23,217.156,89.429,6.5769,5.9527,23.2078
Mahou,Cerveza Mahou,MAESTRA DE MAHOU,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw48956cd4/images/hi-res/4151-1.jpg,238.8674,235.6689,234.8016,92.9812,1.3562,1.1021,21.2608
Mahou,Cerveza Mahou,MAHOU ROSÉ,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw91afedfd/images/hi-res/IS11102-1.jpg,244.7683,223.7174,226.7989,91.4978,8.0325,3.3337,19.5238
Mahou,Cerveza Mahou,MAHOU CINCO ESTRELLAS SIN GLUTEN,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dwfdfc6c84/images/hi-res/IS2356-3.jpg,242.1523,235.7017,232.4462,93.5448,2.2613,3.2096,20.153
Mahou,Cerveza Mahou,MAHOU CINCO ESTRELLAS RADLER,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dwb05e3cc6/images/hi-res/3094-10.jpg,243.5014,226.4188,221.9204,91.9318,5.9909,6.5537,20.145
Mahou,Cerveza Mahou,MAHOU SIN,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dwc6dabfa1/images/hi-res/IS2180-10.jpg,241.1289,238.4644,238.6388,94.141,1.7291,0.4244,19.5516
Mahou,Cerveza Mahou,MAHOU CINCO ESTRELLAS SIN FILTRAR,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw41d7744f/images/hi-res/IS11098-1.jpg,245.7189,235.9552,231.6026,94.0722,3.5381,4.1427,17.4936
Mahou,Cerveza Mahou,MAHOU CINCO ESTRELLAS,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw3d88a0bd/images/hi-res/IS2728-2.jpg,245.3694,238.8563,236.9966,94.7804,2.319,2.5461,18.2673
Mahou,Cerveza Mahou,"MAHOU 0,0 TOSTADA",https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw6b1d1543/images/hi-res/MH00Tostada-20cl-AF.jpg,243.897,240.3015,237.9604,94.9071,1.4494,1.7985,16.7411
Mahou,Cerveza Mahou,"MAHOU 0,0 TOSTADA SIN GLUTEN",https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw5ec805d6/images/hi-res/IS21011-1.jpg,245.9035,241.2538,236.5133,95.3606,1.4698,3.0235,15.0168
Mahou,Cerveza Mahou,MAHOU CINCO ESTRELLAS SESSION IPA,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dwc0bdf5f9/images/hi-res/IS1803-5.jpg,245.3925,239.5522,235.2991,94.9008,2.1519,3.112,16.6462
Mahou,Cerveza Mahou,MAHOU CINCO ESTRELLAS SESSION IPA,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dwc0bdf5f9/images/hi-res/IS1803-5.jpg,245.3925,239.5522,235.2991,94.9008,2.1519,3.112,16.6462
Mahou,Cerveza Mahou,MAHOU CINCO ESTRELLAS,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw3d88a0bd/images/hi-res/IS2728-2.jpg,245.3694,238.8563,236.9966,94.7804,2.319,2.5461,18.2673
Mahou,Cerveza Mahou,OFERTA MAESTRA DUNKEL DE MAHOU,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw7bdcc7ff/images/hi-res/IS1760-3.jpg,235.5089,234.2967,233.9377,92.1101,0.4917,0.3956,23.5519
Mahou,Cerveza Mahou,MAESTRA DE MAHOU,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw48956cd4/images/hi-res/4151-1.jpg,238.8674,235.6689,234.8016,92.9812,1.3562,1.1021,21.2608
Mahou,Cerveza Mahou,MAHOU CINCO ESTRELLAS SIN FILTRAR,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw41d7744f/images/hi-res/IS11098-1.jpg,245.7189,235.9552,231.6026,94.0722,3.5381,4.1427,17.4936
Mahou,Cerveza Mahou,BARRICA DE MAHOU ORIGINAL,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dwd1aa2da6/images/hi-res/IS1591-2.jpg,243.1635,238.2839,235.317,94.1668,1.6727,2.4776,18.5834
Mahou,Cerveza Mahou,MAHOU CINCO ESTRELLAS PERSONALIZABLE CELEBREMOS,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw30fc0be8/images/hi-res/IS11117-1.jpg,240.2203,218.5426,210.31,89.3095,7.3931,8.6902,20.5067
Mahou,Cerveza San Miguel,SAN MIGUEL ESPECIAL EDICIÓN ESPECIAL MÁLAGA,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw05f38f52/images/hi-res/IS1501-13.jpg,242.5348,241.8047,239.2195,95.1791,-0.1229,1.5781,15.3138
Mahou,Cerveza San Miguel,SAN MIGUEL ESPECIAL,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dwa53bc950/images/hi-res/IS2064-11.jpg,242.5342,238.7533,234.3753,94.2375,1.1788,2.7627,18.9352
Mahou,Cerveza San Miguel,SELECTA DE SAN MIGUEL,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw5e9e4e26/images/hi-res/IS2142-1.jpg,239.1754,234.4749,233.029,92.6864,1.8579,1.7274,21.3365
Mahou,Cerveza San Miguel,"SAN MIGUEL 0,0 RADLER",https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw3aea4b79/images/hi-res/IS2424-3.jpg,239.3981,237.4458,237.1917,93.735,1.5053,0.5806,18.9596
Mahou,Cerveza San Miguel,SAN MIGUEL GLUTEN FREE,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw3492151e/images/hi-res/IS1488-2.jpg,245.8926,240.09,236.2909,95.0623,1.956,3.0161,15.0933
Mahou,Cerveza San Miguel,SAN MIGUEL ESPECIAL,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dwa53bc950/images/hi-res/IS2064-11.jpg,242.5342,238.7533,234.3753,94.2375,1.1788,2.7627,18.9352
Mahou,Cerveza San Miguel,OFERTA SAN MIGUEL ESPECIAL,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dwa53bc950/images/hi-res/IS2064-11.jpg,242.5342,238.7533,234.3753,94.2375,1.1788,2.7627,18.9352
Mahou,Cerveza Alhambra,ALHAMBRA RESERVA 1925,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dwb8005eae/images/hi-res/IS1419-2.jpg,233.6057,240.5297,229.4588,94.0574,-3.8289,4.7076,17.2706
Mahou,Cerveza Alhambra,OFERTA ALHAMBRA RESERVA 1925 MINI,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dwdf601531/images/hi-res/ALH-Reserva-22.5cl-AF.jpg,237.0412,241.7006,234.0674,94.5967,-2.8758,3.4385,17.4363
Mahou,Cerveza Alhambra,ALHAMBRA ESPECIAL,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dwb5a92dff/images/hi-res/ALH-Especial-20cl-AF.jpg,247.9207,244.3504,240.2343,96.4385,1.1367,2.5269,12.2382
Mahou,Cerveza Alhambra,ALHAMBRA RESERVA ROJA,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dwb1d10bea/images/hi-res/IS2399-3.jpg,238.1299,231.7748,231.4166,91.96,2.6227,1.6033,23.003
Mahou,Cerveza Alhambra,ALHAMBRA ESPECIAL,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dwb5a92dff/images/hi-res/ALH-Especial-20cl-AF.jpg,247.9207,244.3504,240.2343,96.4385,1.1367,2.5269,12.2382
Mahou,Cerveza Alhambra,ALHAMBRA RESERVA 1925,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dwb8005eae/images/hi-res/IS1419-2.jpg,233.6057,240.5297,229.4588,94.0574,-3.8289,4.7076,17.2706
Mahou,Cerveza Alhambra,ALHAMBRA SIN,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dwb8022caa/images/hi-res/IS2450-10.jpg,248.2817,243.7386,240.2932,96.3192,1.6641,2.2498,12.7545
Mahou,Cerveza Alhambra,ALHAMBRA TRADICIONAL,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw792539be/images/hi-res/IS2210-11.jpg,246.3293,237.7,235.3996,94.6155,3.1707,2.8789,16.5459
Mahou,Cerveza Alhambra,ALHAMBRA ESPECIAL,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dwb5a92dff/images/hi-res/ALH-Especial-20cl-AF.jpg,247.9207,244.3504,240.2343,96.4385,1.1367,2.5269,12.2382
Mahou,Corona,PACK AHORRO CORONA,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dwdeb54c70/images/hi-res/IS11100-1.jpg,238.7415,238.8233,236.6134,93.9705,-0.1005,0.8349,17.4827
Mahou,Corona,CORONA,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw09c92235/images/hi-res/IS1883.jpg,250.3268,247.9252,243.6248,97.5182,0.3753,2.4402,10.9301
Mahou,Corona,CORONA CERO,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw53c988cb/images/hi-res/IS11069-1.jpg,249.392,247.2539,240.7716,97.3408,0.3485,3.0723,9.3618
Mahou,Founders Brewing,FOUNDERS CENTENNIAL IPA,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw08a7dd5e/images/hi-res/IS1597-1 (2).jpg,235.5323,232.8109,229.4734,91.9518,0.6847,2.4098,20.9418
Mahou,Founders Brewing,DIRTY BASTARD,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw2dcac076/images/hi-res/IS1599-2.jpg,231.5112,229.4131,228.1791,90.3939,0.7538,1.068,24.7025
Mahou,Founders Brewing,KBS STOUT,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw04f8049d/images/hi-res/IS2336-3.jpg,234.1758,231.7076,228.9191,91.2687,0.5886,1.8877,24.0515
Mahou,Founders Brewing,PORTER,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw1af80164/images/hi-res/IS1600-2.jpg,228.9198,228.0007,227.5179,89.6689,0.3357,0.4325,26.2896
Mahou,Founders Brewing,MOSAIC PROMISE,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw1d1b15a5/images/hi-res/IS1995.jpg,223.6797,222.5213,222.8985,87.7408,0.8584,-0.0615,27.4153
Mahou,Founders Brewing,ALL DAY IPA,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dwa04abd60/images/hi-res/3940.jpg,232.8838,230.6945,223.0724,91.043,-0.0302,4.1881,21.0189
Mahou,Budweiser,BUDWEISER,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw178acd3a/images/hi-res/IS2571-2.jpg,247.9991,243.8202,240.8679,96.2923,1.4636,2.1643,13.5457
Mahou,Budweiser,PACK AHORRO BUDWEISER,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw418dad24/images/hi-res/IS1859-1.jpg,243.7258,241.6572,242.2115,95.4167,0.9034,0.1237,12.4948
Mahou,Nómada Brewing,PETRICOR,https://mahousfccprod.com/dw/image/v2/BBTJ_PRD/on/demandware.static/-/Sites-lasolana-master-catalog/default/dw430c3daf/images/hi-res/IS1586-2.jpg,243.69,240.0561,237.0271,94.887,1.3344,2.1235,15.0763
